area,electrical,elec_new_24_26,elec_dissolved_23plus,plumbing_heat,landlords
B,1491,469,0,1351,19875
BT,1158,368,0,692,7183
CM,1046,270,0,801,6737
NG,1031,223,0,759,8938
S,1024,306,0,906,7521
N,963,362,0,863,24414
E,930,392,0,932,15120
G,917,393,0,811,8409
SS,904,220,0,749,4678
ME,848,226,0,720,4920
PO,843,211,0,866,5565
RM,836,280,0,703,6292
BS,828,197,0,721,7988
PE,814,203,0,623,5803
M,804,287,0,717,15783
BN,800,180,0,662,7007
LE,784,196,0,738,9569
DA,770,200,0,702,5093
NE,762,236,0,656,6878
EC,746,447,0,675,14173
HA,742,233,0,705,14102
TN,742,163,0,653,5637
L,725,256,0,583,6579
CF,706,226,0,543,6350
LS,675,205,0,552,7753
RG,644,155,0,688,6360
DE,641,162,0,500,5446
W,634,243,0,567,24810
SO,633,158,0,511,4492
GU,632,139,0,620,5294
DN,621,167,0,522,4148
TS,606,221,0,273,3408
CV,603,166,0,526,7484
HP,603,137,0,553,4781
BH,591,148,0,512,5261
RH,588,121,0,553,3920
NN,583,158,0,593,5142
WC,577,335,0,509,11608
NR,575,132,0,551,4248
EN,565,159,0,522,5902
SE,560,190,0,538,8420
GL,529,107,0,446,4356
KT,529,121,0,484,5554
IG,525,164,0,558,8477
WA,512,158,0,397,4995
SG,502,124,0,454,3208
IP,501,119,0,473,5540
MK,499,159,0,547,5680
SK,482,113,0,422,5649
CR,479,124,0,438,5546
SA,472,126,0,418,3531
NW,464,173,0,440,11700
BR,459,117,0,410,3715
WS,454,131,0,398,2992
ST,452,112,0,433,3440
SW,442,151,0,471,11288
PR,439,98,0,376,3759
CH,436,120,0,322,4151
EH,436,156,0,491,5743
WF,428,123,0,312,2894
OX,427,85,0,470,4424
CO,424,107,0,440,2646
OL,419,120,0,331,3189
TW,419,122,0,497,6831
UB,405,156,0,432,5639
LU,395,142,0,400,3668
BD,391,115,0,400,3705
HU,383,109,0,338,2656
EX,382,82,0,387,3652
BL,376,116,0,322,3573
WD,373,101,0,316,5032
SL,368,98,0,397,5345
DY,367,85,0,334,2852
BB,366,113,0,322,2900
ML,365,132,0,270,1604
YO,359,79,0,299,3454
CT,353,105,0,295,2914
LL,330,91,0,280,2225
SM,328,99,0,343,2692
PL,324,72,0,337,2436
FY,320,94,0,172,1925
NP,319,103,0,289,2375
AB,317,101,0,263,2278
SN,304,78,0,357,2681
WV,302,96,0,265,3463
BA,295,64,0,256,2707
CB,274,50,0,272,3214
WN,262,68,0,231,1386
AL,255,70,0,250,2352
WR,244,68,0,205,1964
IV,234,92,0,140,808
CW,233,58,0,183,1927
DL,231,61,0,213,1589
LA,231,40,0,230,1739
HD,222,53,0,198,2017
SY,218,55,0,207,1970
TR,214,59,0,181,1668
TQ,213,42,0,203,1766
CA,212,48,0,168,1354
DD,207,69,0,173,1598
TA,205,52,0,208,1962
LN,204,50,0,210,1685
DH,190,80,0,170,1568
PA,181,60,0,145,1268
DT,180,33,0,224,1141
KA,174,61,0,162,1221
HX,173,46,0,140,1158
SP,162,36,0,162,1335
KY,160,49,0,185,1219
FK,155,57,0,139,1112
HR,153,39,0,147,1842
TF,152,41,0,129,1249
SR,151,59,0,80,879
HG,109,25,0,85,1252
PH,98,26,0,97,744
TD,67,17,0,68,431
DG,61,20,0,46,336
KW,34,10,0,22,169
ZE,26,10,0,12,108
LD,22,2,0,25,186
HS,18,6,0,11,74
C,1,0,0,1,8
P,1,0,0,0,2
RN,1,1,0,0,0
Y,1,0,0,0,4
LR,0,0,0,1,0
TM,0,0,0,1,0
